source_id,tier,reason,use_allowed_for_final_judgment
LAW-67,primary,法令本文,yes
LAW-1397,primary,法令本文,yes
NTA-16-1-1,primary_guidance,国税庁通達,yes_with_law
NTA-16-5-2,primary_guidance,国税庁通達,yes_with_law
JP-GBIZ,official_secondary,政府保有法人情報の集約,yes_for_identity_no_for_shareholder
JP-OFFICIAL-ABOUT,official_company,会社公式,yes_for_company_profile_no_for_shareholder
JP-OFFICIAL-JAPAN,official_company,会社公式,yes_for_business_relationship_no_for_shareholder
CN-GROUP-ABOUT,official_company,会社公式,yes_for_group_profile_no_for_shareholder
CN-MOFCOM,government_public_info,商務部/上海市商務委系公開情報,yes_for_overseas_investment_relation_limited
CN-HONGKOU,government_site_article,政府サイト掲載記事だが内容は人物記事,strong_support_not_decisive
CN-CICC,quasi_primary,証券開示系輔導資料,yes_for_2021_china_parent_control
CN-CS,secondary_media,報道,corroboration_only
