priority,gap,why_it_matters,document_needed
A,クンチ株式会社の期末株主が未確認,50%超支配の直接要件,株主名簿・別表二
A,議決権比率が未確認,令139条の7は重要議決権も見る,議決権台帳・定款・種類株式情報
A,クンチ株式会社の資本金が未確認,法67条1項括弧書きの入口に影響,履歴事項全部証明書・別表五一
A,対象事業年度末が未特定,法67条8項は期末現況で判定,決算書・申告書・定款
A,上海側の最新支配関係が未確認,CICC資料は2021年時点,最新工商档案・章程・株主名簿
A,香港法人・中間会社の有無が未確認,支配連鎖が中間で切れる可能性,グループ組織図・HK Companies Registry
B,境外投資証書の全文未取得,日本法人への出資比率を直接確認したい,ODI filing・境外投資証書
B,期末TTM未取得,外国法人資本金の円換算に必要,銀行公表TTM・為替資料
B,清算中でないことの登記確認未了,法67条1項は清算中を除く,履歴事項全部証明書
A,上海側親会社の上場完了・証券コードが未確認,CICC資料は輔導备案段階であり上場完了資料ではない,証券取引所上場会社検索・証券コード・最新工商档案
