id	pid	snippet	core
j06-6-13	6-13	(1) 確認申出法人が事前確認について相互協議を求める場合には、局担当課又は庁担当課は、必要に応じ、庁相互協議室と協議を行う。 (2) 確認申出法人が事前確認について相互協議を求める場合において、局担当課は、事前確認審査を終了したときは、庁	text/nta-tp-audit/jimu-ch06-pack-00.txt
j06-6-14	6-14	事前確認審査に当たっては、移転価格税制の適正かつ円滑な執行を図る観点から、次の(1)又は(2)に定めるところにより適切に対応することに留意する。 (1) 次に掲げる場合に該当することにより、確認申出法人が行った事前確認の申出について、事前確	text/nta-tp-audit/jimu-ch06-pack-00.txt
j06-6-15	6-15	(1) 相互協議を伴う事前確認の申出について、局担当課は、庁担当課を通じて庁相互協議室から相互協議の合意が成立した旨の通知を受けた場合には、必要に応じ、確認申出法人から事前確認の申出の修正を受けた上で、速やかに、事前確認を行う旨を所轄税務署	text/nta-tp-audit/jimu-ch06-pack-00.txt
j06-6-16	6-16	所轄税務署長等は、6-15(5)の取扱いにより事前確認を行う旨の通知を受けた法人（以下「確認法人」という。）が事前確認を受けた各事業年度（以下「確認事業年度」という。）において、事前確認を受けた国外関連取引（以下「確認取引」という。）につい	text/nta-tp-audit/jimu-ch06-pack-00.txt
j06-6-17	6-17	所轄税務署長等は、確認法人に対し、確認事業年度の確定申告書の提出期限又は当該所轄税務署長等があらかじめ定める期限までに、次の事項を記載した資料を添付した「独立企業間価格の算定方法等の確認に関する報告書」を別紙様式8により作成し、これを当該所	text/nta-tp-audit/jimu-ch06-pack-00.txt
j06-6-18	6-18	(1) 確認法人から、6-17に定める報告書の提出があった場合には、署法人課税部門又は局調査課は6-5及び6-6の取扱いに準じて処理を行う。 (2) 局担当課は、当該報告書に基づき、確認取引について事前確認の内容に適合した申告が行われている	text/nta-tp-audit/jimu-ch06-pack-00.txt
j06-6-19	6-19	(1) 所轄税務署長等は、確認法人が確認取引の対価の額を事前確認の内容に適合した額とするために、確定した決算において行う必要な調整は、移転価格税制の適用上適正な取引として取り扱う。 (2) 局担当課は、(1)の調整を行うことができなかった場	text/nta-tp-audit/jimu-ch06-pack-01.txt
j06-6-2	6-2	(1) 法人から事前確認の申出が行われた場合には、所轄税務署長等は、これを収受する。 なお、事前確認の申出を行おうとする法人が事前相談を行っていない場合には、所轄税務署長等は当該法人に対して、事前相談を行った上で事前確認の申出を行うよう指導	text/nta-tp-audit/jimu-ch06-pack-01.txt
j06-6-20	6-20	確認法人から、確認事業年度のうちのいずれかの事業年度において、事前確認を継続する上で前提となる重要な事業上又は経済上の諸条件等について事情の変更が生じたことにより事前確認の改定の申出がなされた場合には、6-1から6-19までの取扱いに準じて	text/nta-tp-audit/jimu-ch06-pack-01.txt
j06-6-21	6-21	(1) 局担当課は、次のイからハまでに該当する場合には、それぞれの事実の発生した事業年度以後の確認事業年度（その事業年度が連結事業年度に該当する場合には、当該連結事業年度を含む。以下6-21において同じ。）について、ニに該当する場合には確認	text/nta-tp-audit/jimu-ch06-pack-01.txt
