evidence_id,source_title,source_type,reliability_tier,short_quote,fact_established,capital_control_relevance,caveat,original_url
LAW-67,e-Gov 法人税法,law,primary,内国法人である特定同族会社,特定同族会社の入口・50%超・期末判定,直接根拠,条文全文はe-Govとローカルjplawdbで確認,https://laws.e-gov.go.jp/law/340AC0000000034
LAW-1397,e-Gov 法人税法施行令,law,primary,株主等の親族,特殊関係者・支配会社・議決権合算,直接根拠,条文全文はe-Govとローカルjplawdbで確認,https://laws.e-gov.go.jp/law/340CO0000000097
NTA-16-1-1,法人税基本通達16-1-1,tax_guidance,primary,直接又は間接の被支配会社,非被支配法人除外の解釈,直接根拠,通達であり法令ではない,https://www.nta.go.jp/law/tsutatsu/kihon/hojin/16/16_01_01.htm
NTA-16-5-2,法人税基本通達16-5-2,tax_guidance,primary,電信売買相場の仲値,外国法人資本金の円換算,資本金1億円以下の場合に重要,期末為替と資本金資料が必要,https://www.nta.go.jp/law/tsutatsu/kihon/hojin/16/16_05.htm
JP-GBIZ,gBizINFO クンチ株式会社,government_aggregator,official_secondary,1010401135095,法人番号・本店所在地,入口事実のみ,株主・資本金は空欄,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010401135095
JP-OFFICIAL-ABOUT,クンチ株式会社 会社概要,company_official,official,代表取締役 前田 大介,所在地・代表者・設立,入口事実のみ,株主・議決権は記載なし,https://www.kunchi.tokyo/about.html
JP-OFFICIAL-JAPAN,クンチ株式会社 日本ページ,company_official,official,現地グループ会社と連携,事業内容・グループ連携,事業的一体性の補強,資本関係の直接証拠ではない,https://www.kunchi.tokyo/japan.html
CN-GROUP-ABOUT,Kunchi Group About,company_official,official,日本鲲驰成立,東京拠点・グループ沿革,グループ内位置づけの補強,株主比率は不明,https://kunchi.com/about.html
CN-SERVICE,Kunchi Group サービス,company_official,official,超200个知名品牌,事業規模・運営機能,事業的一体性の補強,税法判定の核心証拠ではない,https://kunchi.com/service.html
CN-ECOSYS,Kunchi Group 多態業務,company_official,official,日本鲲驰成立,2016年東京分部設立等,グループ内位置づけの補強,株主比率は不明,https://kunchi.com/wenger.html
CN-MOFCOM,商務部/上海市商務委 公開情報,government,primary_like,日本鲲驰株式会社,上海路捷鲲驰と日本鲲驰の境外投資関係,資本接続の強い補強,持株比率・議決権は不明,https://zsmtjhzs.mofcom.gov.cn/fecppub/zcq/view?sysno=0000000084c6d2ab0184eb4e369e0065
CN-HONGKOU,上海虹口区政府記事,government_site_article,secondary_on_gov_site,全资投资的日本分公司,日本鲲驰が上海路捷鲲驰の全額投資日本分公司との説明,100%出資仮説の強い補助,株主名簿ではない,https://www.shhk.gov.cn/xwzx/002008/002008040/20221108/6dc2cb60-0b6a-412f-bc8d-f6268a124638.html
CN-CICC,CICC IPO輔導資料,capital_market_filing,quasi_primary,95.69%股份的表决权,上海路捷鲲驰の共同実質支配者と議決権,中国側同族支配の強い証拠,2021年時点で最新性要確認,https://www.cicc.com.cn/upload/repository/file/809b591d-85d2-4829-8935-0c1426f5412e.pdf
CN-CS,中証網記事,media,secondary,共同实际控制人,CICC資料の報道確認,補助,報道であり一次資料ではない,https://www.cs.com.cn/xg/wysg/202101/t20210129_6135718.html
CN-LIST-001,CICC IPO輔導資料,capital_market_filing,quasi_primary,辅导备案と申请文件准备,2021年時点のIPO輔導入りであり上場完了ではない,上場会社として扱う根拠にはならない,上場完了・証券コードは未確認,https://www.cicc.com.cn/upload/repository/file/809b591d-85d2-4829-8935-0c1426f5412e.pdf
CN-LIST-002,Kunchi Group公式沿革,official,primary_like,2024 SOLAR战略,公式沿革上は2024年まで上場完了・証券コードの明示なし,上場完了を示す資料なし,不存在証明ではない,https://kunchi.com/about.html
