id,title,role,kind,url,original_rel,highlight_html_rel,highlight_pdf_rel,fact,found_count,missing_count,missing_phrases,text_found_count,text_missing_phrases
ALC-OWN-001,Alcopa公式トップ（現行family-owned表示）,company_primary_current,html,https://alcopa.be/,sources/originals/ALC-OWN-001_alcopa_home.html,sources/highlighted_originals/ALC-OWN-001_highlighted_original.html,,Alcopa自身が現行トップページでfamily-owned investment companyと表示し、Buffet CramponをCurrent投資先に掲げる。,4,0,,,
ALC-OWN-002,Alcopa公式History（創業家3・4世代とfamily full ownership）,company_primary_current,html,https://alcopa.be/history/,sources/originals/ALC-OWN-002_alcopa_history_current.html,sources/highlighted_originals/ALC-OWN-002_highlighted_original.html,,Alcopa公式が、現在も創業家3・4世代のstewardship下でfamily full ownershipを維持すると説明する。,2,1,maintaining full ownership by the family,,
ALC-OWN-003,Alcopa公式Governance（CAFと現行取締役・経営陣）,company_primary_current,html,https://alcopa.be/governance/,sources/originals/ALC-OWN-003_alcopa_governance.html,sources/highlighted_originals/ALC-OWN-003_highlighted_original.html,,現行ガバナンス上、Moorkens姓が取締役・Managing Director・CAFに入り、Family Shareholding Boardが存在する。,7,0,,,
ALC-OWN-004,ベルギーKBO Alcopa公的登録（現行Active・代表者）,public_registry,html,https://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?lang=nl&nummer=421837162,sources/originals/ALC-OWN-004_kbo_alcopa_0421837162.html,sources/highlighted_originals/ALC-OWN-004_highlighted_original.html,,KBO上、Alcopaは2026-05-10時点でActive。Moorkens姓の固定代表者が表示されるが、株主名簿までは表示されない。,2,6,"Ondernemingsnummer:0421.837.162 | Status:Actief | Moorkens , Axel | Moorkens , Penelope | Moorkens , Philippe | Kapitaal 24.347.359,94",,
ALC-OWN-005,Bloomberg LEI Alcopa（親会社なし・非連結理由）,public_registry,html,https://lei.bloomberg.com/leis/view/549300P73MZG5HVCBY61,sources/originals/ALC-OWN-005_bloomberg_lei_alcopa.html,sources/highlighted_originals/ALC-OWN-005_highlighted_original.html,,LEIではAlcopa自体はActive。親会社情報は非提供で、上位外部親会社の存在を示す資料ではない。,8,0,,,
ALC-OWN-006,Bloomberg LEI Alcopa Capital Development（直接・最終親会社Alcopa）,public_registry,html,https://lei.bloomberg.com/leis/view/549300V6HVN2UPYG3G67,sources/originals/ALC-OWN-006_bloomberg_lei_acd.html,sources/highlighted_originals/ALC-OWN-006_highlighted_original.html,,LEI上、Alcopa Capital Developmentの直接親会社・最終親会社はAlcopa LEIに接続され、関係はActiveと表示される。,6,3,549300P73MZG5HVCBY61 | Relationship Status | ACCOUNTS_FILING,,
ALC-OWN-007,Whitestone 2026開示（AlcopaはMoorkens family holding）,third_party_current_finance,html,https://financialreports.eu/filings/whitestone-group/share-issuecapital-change/2026/13821660/,sources/originals/ALC-OWN-007_whitestone_2026_alcopa_moorkens_holding.html,sources/highlighted_originals/ALC-OWN-007_highlighted_original.html,,2026年1月の第三者IR開示でも、AlcopaはMoorkens family holdingとして扱われる。,5,0,,,
ALC-OWN-008,Familiebedrijf.be Alcopa family governance（家族株主ガバナンス）,governance_context,html,https://www.familiebedrijf.be/nieuws/alcopa-de-familie-is-alles-als-een-geheel,sources/originals/ALC-OWN-008_familiebedrijf_alcopa_family_governance.html,sources/highlighted_originals/ALC-OWN-008_highlighted_original.html,,家族株主がfamily councilを選び、家族株主内部で流動性を処理する構造が説明される。,7,0,,,
ALC-OWN-009,Alcopa 2025 Activity Report（100% family owned / CAF）,company_primary_current_pdf,pdf,https://alcopa.be/wp-content/uploads/2026/04/Activity_Report_2025.pdf,sources/originals/ALC-OWN-009_Alcopa_2025_Activity_Report.pdf,sources/highlighted_originals/ALC-OWN-009_highlighted_original.html,sources/highlighted_originals/pdf/ALC-OWN-009_highlighted_original_v3.pdf,2025年版Activity Reportは100% family owned business、CAFがfamily shareholdingを代表すること、投資先boardにfamily shareholding memberが入ることを示す。,19,0,,8,100% Family owned business | multi-generational perspective | The CAF (Conseil de l’Actionnariat Familial) represents the family shareholding
ALC-OWN-010,NBB 2025 Alcopa consolidated annual accounts（ACD 100% direct participation）,public_accounts,pdf,https://consult.cbso.nbb.be/api/external/broker/public/deposits/pdf/18f332cf-4879-11f1-a765-81278a00050a,sources/originals/ALC-OWN-010_NBB_Alcopa_2025_consolidated_accounts.pdf,sources/highlighted_originals/ALC-OWN-010_highlighted_original.html,sources/highlighted_originals/pdf/ALC-OWN-010_highlighted_original_v3.pdf,NBB 2025連結年次計算書は、Alcopa NVの会社番号・対象期・株主総会日、及びACDがAlcopa NVの100%直接参加会社であることを示す。ただしAlcopa本体の全株主名簿は開示しない。,54,0,,5,"01 / 01 / 2025 | 31 / 12 / 2025 | 100% rechtstreekse participatie is van Alcopa NV | Alcopa Capital Development NV | 100,00 %"
