fact_id,classification,statement,evidence_ids,assessment
F-001,fact,クンチ株式会社は法人番号1010401135095の日本法人である,JP-GBIZ;JP-OFFICIAL-ABOUT,confirmed
F-002,fact,公式会社概要は所在地を東京都中央区京橋2-7-14 Burex京橋515・代表取締役を前田大介・設立を2016年11月とする,JP-OFFICIAL-ABOUT,confirmed
F-003,fact,クンチ公式は日本ブランドの中国市場展開・越境EC・一般貿易支援を掲げる,JP-OFFICIAL-JAPAN,confirmed
F-004,fact,Kunchi Group公式は東京拠点と2016年日本鲲驰成立を掲げる,CN-GROUP-ABOUT;CN-ECOSYS,confirmed
F-005,fact,MOFCOM系公開情報に上海路捷鲲驰集团股份有限公司と日本鲲驰株式会社が同一境外投資文脈で掲載される,CN-MOFCOM,confirmed_limited
F-006,inference,クンチ株式会社はKunchi Groupの日本側ゲートウェイとして機能している可能性が高い,JP-OFFICIAL-JAPAN;CN-GROUP-ABOUT;CN-ECOSYS;CN-MOFCOM,strong
F-007,inference,上海路捷鲲驰集团股份有限公司又は関連会社が日本法人を50%超支配している可能性が高い,CN-MOFCOM;CN-HONGKOU,strong_but_not_decisive
F-008,fact,CICC資料は2021年時点で李宏德・魏静夫妻による上海路捷鲲驰集团股份有限公司95.69%議決権支配を記載する,CN-CICC;CN-CS,confirmed_for_2021
F-009,unresolved,クンチ株式会社の対象期末株主・議決権・資本金は公開情報で未確認,JP-GBIZ;JP-OFFICIAL-ABOUT,critical_gap
F-010,unresolved,上海側支配関係が2026年5月7日又は対象期末にも維持されているか未確認,CN-CICC,critical_gap
